"","Year","Q2.5","Q7.5","Q50","Q92.5","Q97.5"
"48",2015.69696969697,893.945196988395,1342.10584855018,3099.39538188329,5285.45658043946,6245.75982408405
"49",2015.81818181818,906.107798328109,1353.01259422115,3110.48758958872,5293.08128462471,6265.18773290307
"50",2015.93939393939,925.094437562718,1359.27062423043,3121.82799469459,5325.52979110354,6252.89152446771
"51",2016.06060606061,941.427266808522,1367.22789407127,3136.87592263106,5341.18185726363,6240.29750525527
"52",2016.18181818182,967.356132226713,1377.64934917395,3141.46056728395,5354.95133409395,6227.47566068673
"53",2016.30303030303,989.594631134699,1386.94615956821,3151.01821734728,5350.07974506623,6214.46945504183
"54",2016.42424242424,994.314813621201,1407.55326094933,3165.16865482114,5360.31189463992,6226.73842804453
"55",2016.54545454545,1001.52542777395,1422.1859534494,3184.58468151374,5362.51642825939,6234.78402771567
"56",2016.66666666667,1013.58224010027,1438.25645877405,3206.547721593,5375.78013584186,6248.94449376828
"57",2016.78787878788,1029.33466559829,1451.75011719886,3220.50633083044,5375.69407261943,6261.79298694941
"58",2016.90909090909,1044.12969228659,1470.63124353177,3239.60864849632,5404.00087397493,6275.10991316917
"59",2017.0303030303,1055.11516468624,1484.67888870826,3261.91805332128,5422.17950183111,6284.26062267222
"60",2017.15151515152,1073.91457675679,1513.06752301178,3285.14935670109,5434.23024061508,6308.11824513805
"61",2017.27272727273,1090.91030235871,1531.65428437603,3307.03732297134,5463.36184675756,6321.6875303936
"62",2017.39393939394,1101.92012354786,1564.97557882524,3320.82144148491,5491.14225013385,6323.75653834196
"63",2017.51515151515,1118.84642011387,1591.49633071143,3343.638866614,5513.92011037064,6366.80524747696
"64",2017.63636363636,1137.73968974126,1608.64633317878,3370.05338480675,5542.20121612407,6393.28649183823
"65",2017.75757575758,1144.24870781049,1606.40264579135,3403.24723282571,5562.61545933029,6407.43377140955
"66",2017.87878787879,1179.91369668703,1618.25019491225,3416.17627300358,5560.53908176903,6441.17422549674
"67",2018,1194.83739476748,1640.92167112741,3441.68626255632,5594.34545864763,6498.14914690241
"68",2018.12121212121,1203.98624175769,1670.55440161912,3468.53844051959,5619.05159162515,6507.78605264051
"69",2018.24242424242,1236.37700214578,1698.25903487831,3494.49657457204,5646.16557734796,6512.29060489803
"70",2018.36363636364,1260.01232266567,1723.41740760577,3516.34295244383,5676.94156962364,6517.37529162104
"71",2018.48484848485,1280.7267711021,1745.56923980909,3543.47042387464,5695.68005979585,6523.24839223234
"72",2018.60606060606,1291.2441415964,1768.97198568727,3564.35504874028,5739.23884517409,6583.03936863207
"73",2018.72727272727,1303.78129842428,1788.18482957858,3603.99964203252,5776.22055697499,6605.05998849463
"74",2018.84848484848,1332.08862985112,1799.98602569721,3638.76427935029,5831.62292483184,6640.20644469093
"75",2018.9696969697,1345.8580404418,1827.12728615923,3665.33168737143,5891.82481773818,6706.41057627423
"76",2019.09090909091,1371.41952214097,1849.35810887931,3696.68114329588,5937.01747954369,6747.25002465329
"77",2019.21212121212,1396.13858381125,1883.161476222,3721.59516360261,5984.41000468781,6788.75884482063
"78",2019.33333333333,1419.82476567696,1921.37624486477,3754.90588035852,6012.81106221562,6811.12647122679
"79",2019.45454545455,1442.16428719679,1956.05959159497,3793.0923640042,6067.74956836713,6866.46889933009
"80",2019.57575757576,1444.35441022074,1979.90811951545,3822.60378067525,6129.19372472239,6929.68417536016
"81",2019.69696969697,1461.24506115463,2001.11540584444,3860.26377427059,6201.07103119401,6994.62767106948
"82",2019.81818181818,1451.89466195353,2023.47721785915,3896.82054411821,6257.40265287535,7068.6183040164
"83",2019.93939393939,1465.87195172702,2046.6978032645,3933.17163631422,6330.99729880078,7157.62982816925
"84",2020.06060606061,1473.73379143944,2062.65608059875,3961.93356712329,6388.97884627398,7244.35961650477
"85",2020.18181818182,1474.92309552294,2078.0806877616,4001.86289482833,6476.10350787244,7334.91113233583
"86",2020.30303030303,1475.37838172063,2086.82165358461,4044.85510882287,6536.86723235113,7456.19573880648
"87",2020.42424242424,1488.90761830943,2101.39014564605,4086.53886430897,6643.54872638945,7581.00262332909
"88",2020.54545454545,1499.97387002984,2105.2276132121,4132.95991462778,6737.49984185111,7701.39971706261
"89",2020.66666666667,1514.03668915243,2125.70934758939,4179.58390798547,6808.46885547006,7809.8247600362
"90",2020.78787878788,1535.43454017619,2123.15805249969,4220.25770702668,6902.41739236713,7942.77002212717
"91",2020.90909090909,1550.8126189956,2143.95318237654,4259.66445212953,7007.01597610677,8043.53260078327
"92",2021.0303030303,1546.69864052123,2139.24843189735,4293.27902726521,7114.44315258529,8199.80589463374
"93",2021.15151515152,1538.80084849479,2126.4830027032,4336.34379426126,7192.23572372008,8323.79041266573
"94",2021.27272727273,1542.07952406794,2143.98538644332,4385.2447972441,7305.86435310498,8440.94759841136
"95",2021.39393939394,1541.51309107142,2152.44329599481,4434.58546899498,7387.29000348958,8608.34815512062
"96",2021.51515151515,1529.65332421007,2163.59648753793,4501.77111904492,7535.68820142652,8765.08453990316
"97",2021.63636363636,1531.69932906933,2169.54591717443,4574.38564828984,7660.51491783701,8905.51939945559
"98",2021.75757575758,1524.73188487745,2172.95816897179,4621.82756772893,7811.93474469876,9052.04052804423
"99",2021.87878787879,1513.6875326595,2144.94336820793,4674.19622916614,7950.57573124478,9188.09722509455
"100",2022,1504.55238536748,2146.99978533319,4731.07873081858,8080.04522592911,9337.04393295796
